platform,track_name,artist_name,album_name,reason_start
android,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road,fwdbtn
android,Times Like These,Glen Campbell,Meet Glen Campbell,fwdbtn
android,Alone Together,Fall Out Boy,Save Rock And Roll,fwdbtn
cast to device,Memories,Maroon 5,Memories,trackdone
android,In the Flesh?,Pink Floyd,The Wall,fwdbtn
android,I Found a Reason - 2015 Remaster,The Velvet Underground,Loaded,fwdbtn
android,Eleanor Put Your Boots On,Franz Ferdinand,You Could Have It So Much Better,fwdbtn
android,Diggin' My Grave,Lady Gaga,A Star Is Born Soundtrack,fwdbtn
android,With God on Our Side,Bob Dylan,The Times They Are A-Changin',fwdbtn
android,No Surprises,Scott Bradlee's Postmodern Jukebox,33 Resolutions Per Minute,fwdbtn
android,Engagement Party,Justin Hurwitz,La La Land,trackdone
android,Help! - Remastered 2009,The Beatles,Help!,fwdbtn
android,Everybody's Got Something To Hide Except Me And My Monkey - Remastered 2009,The Beatles,The Beatles,trackdone
android,En el Último Trago,José Alfredo Jimenez,Brillantes - Jose Alfredo Jimenez,trackdone
android,Incomplete,James Bay,Chaos And The Calm,fwdbtn
android,Goodnight Ladies,Lou Reed,Transformer,fwdbtn
android,Hannah Hunt,Vampire Weekend,Modern Vampires of the City,fwdbtn
android,Can't Help but Wait,Trey Songz,Trey Day,trackdone
iOS,R.R.R,The Mud Howlers,R.R.R,fwdbtn
android,Lego House,Ed Sheeran,+,fwdbtn
