restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords,first_review_date,last_review_date
g10055971-d10040330,Le Petit Campagnard,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Ain"", ""Journans""]",France,Auvergne-Rhone-Alpes,Ain,Journans,"11 rue de l Eglise, 01250 Journans France",46.14434,5.3312,Claimed,,#1 of 1 Restaurant in Journans,#1 of 1 places to eat in Journans,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,"Reservations, Seating, Table Service, Serves Alcohol",N,N,N,,,,,4.0,36.0,All languages,36.0,18.0,12.0,3.0,1.0,2.0,4.0,3.5,4.0,,,2017-05-15,2019-04-12
g1005749-d1334370,Chez Jiji,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"quartier Fray Redon, 83136 Rocbaron France",43.31685,6.07684,Unclaimed,,#7 of 10 Restaurants in Rocbaron,#7 of 12 places to eat in Rocbaron,"Cheap Eats, French, Fast food",€,,"Lunch, Dinner","French, Fast food",,"Takeout, Wheelchair Accessible",N,N,N,"{""Mon"": [], ""Tue"": [""11:00-13:30"", ""18:00-21:30""], ""Wed"": [""11:00-13:30"", ""18:00-21:30""], ""Thu"": [""11:00-13:30"", ""18:00-21:30""], ""Fri"": [""11:00-13:30"", ""18:00-21:30""], ""Sat"": [""11:00-13:30"", ""18:00-21:30""], ""Sun"": [""18:00-21:30""]}",6.0,33.5,11.0,4.0,37.0,All languages,37.0,19.0,11.0,5.0,0.0,2.0,4.5,4.0,4.0,,,2023-08-28,2023-12-31
g1005749-d14139205,Angkor,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"Lieu-dit Fray Redon Zac Du Frey Redon, 83136 Rocbaron France",43.31537,6.07672,Unclaimed,,#10 of 10 Restaurants in Rocbaron,#10 of 12 places to eat in Rocbaron,"Chinese, Japanese",,,,"Chinese, Japanese",,,N,N,N,,,,,3.5,4.0,All languages,4.0,1.0,1.0,0.0,2.0,0.0,,,,,,,2021-08-15
g1005749-d17624270,L'Original'S,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"Zac Fray Redon, 83136 Rocbaron France",43.31638,6.07687,Unclaimed,,#9 of 10 Restaurants in Rocbaron,#9 of 12 places to eat in Rocbaron,"French, American, German",,,,"French, American, German",,,N,N,N,,,,,4.5,2.0,All languages,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,2020-08-26,2022-02-21
g1005749-d19337244,L'Impro Restaurant,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"Fray Redon, 83136 Rocbaron France",43.315163,6.076051,Claimed,,#5 of 10 Restaurants in Rocbaron,#5 of 12 places to eat in Rocbaron,"Mid-range, French, International",€€-€€€,€10-€50,"Lunch, Dinner, Drinks","French, International",,,N,N,N,"{""Mon"": [], ""Tue"": [""11:30-14:30""], ""Wed"": [""11:30-14:30""], ""Thu"": [""11:30-14:30""], ""Fri"": [""11:30-13:30"", ""19:00-21:30""], ""Sat"": [""11:30-13:30"", ""19:00-21:30""], ""Sun"": [""11:30-14:00""]}",6.0,20.5,8.0,4.5,25.0,All languages,25.0,19.0,4.0,1.0,0.0,1.0,5.0,4.5,4.5,,,2020-01-16,2020-03-30
g1005749-d21268408,Pietra Foci Rocbaron,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"Zac De Fray De Redon, 83136 Rocbaron France",43.31595,6.076462,Claimed,,,,"Mid-range, Pizza",€€-€€€,€10-€30,,Pizza,,,N,N,N,,,,,,,,,,,,,,,,,,,2021-01-01,2022-05-30
g1005749-d3331242,Tip top pizza,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"2 Zac de Fray Redon, 83136 Rocbaron France",43.315495,6.076796,Claimed,,#8 of 10 Restaurants in Rocbaron,#8 of 12 places to eat in Rocbaron,"Mid-range, Italian, French, Pizza",€€-€€€,,Dinner,"Italian, French, Pizza",,"Takeout, Reservations, Wheelchair Accessible, Table Service",N,N,N,,,,,4.0,20.0,English,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.5,4.0,,,2017-03-08,2020-06-14
g1005749-d3331246,L'Antidote,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"Fray Redon, 83136 Rocbaron France",43.315277,6.07605,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#1 of 10 Restaurants in Rocbaron,#1 of 12 places to eat in Rocbaron,"Mid-range, French",€€-€€€,,"Lunch, Dinner, After-hours",French,,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Outdoor Seating",N,N,N,,,,,4.5,196.0,English,2.0,1.0,1.0,0.0,0.0,0.0,4.5,4.5,4.5,4.0,,2011-10-17,2014-02-05
g1005749-d4414073,La terrasse,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"10 rue des Faysonnes, 83136 Rocbaron France",43.30408,6.09149,Unclaimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#4 of 10 Restaurants in Rocbaron,#4 of 12 places to eat in Rocbaron,"Mid-range, Italian, French, Pizza",€€-€€€,,"Lunch, Dinner","French, Pizza, Italian",,"Takeout, Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service, Wheelchair Accessible",N,N,N,,,,,4.0,79.0,All languages,79.0,36.0,28.0,10.0,4.0,1.0,4.5,4.0,4.5,,,2021-10-02,2023-12-31
g1005749-d4843143,Cafe Restaurant le Papareil,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"quartier Fray Redon, 83136 Rocbaron France",43.31637,6.076079,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2017",#3 of 10 Restaurants in Rocbaron,#3 of 12 places to eat in Rocbaron,"Cheap Eats, French, European",€,€7-€14,"Breakfast, Lunch, Dinner, Drinks","French, European",,,N,N,N,"{""Mon"": [""07:00-20:00""], ""Tue"": [""07:00-20:00""], ""Wed"": [""07:00-20:00""], ""Thu"": [""07:00-20:00""], ""Fri"": [""07:00-23:00""], ""Sat"": [""07:00-23:00""], ""Sun"": [""07:00-17:00""]}",7.0,94.0,7.0,4.5,73.0,All languages,73.0,48.0,21.0,1.0,0.0,3.0,4.5,4.5,4.5,,,2016-04-21,2016-09-15
g1005749-d5820199,L'ardoisier,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"quartier Fray Redon Galerie du soleil - Espace du Fray Redon, 83136 Rocbaron France",43.315636,6.075663,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2017, Certificate of Excellence 2016",#2 of 10 Restaurants in Rocbaron,#2 of 12 places to eat in Rocbaron,"Mid-range, French, Vegetarian Friendly",€€-€€€,€11-€23,,French,Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:45-14:15""], ""Tue"": [""11:45-14:15""], ""Wed"": [""11:45-14:15""], ""Thu"": [""11:45-14:15""], ""Fri"": [""11:45-14:15"", ""19:00-21:30""], ""Sat"": [""11:45-14:30"", ""19:00-21:30""], ""Sun"": []}",6.0,20.25,8.0,4.5,126.0,English,1.0,0.0,1.0,0.0,0.0,0.0,4.5,4.5,4.0,4.0,,2017-01-01,2021-05-06
g1005749-d6403874,Esprit Sushi Rocbaron,"[""Europe"", ""France"", ""Provence-Alpes-Cote d'Azur"", ""Var"", ""Rocbaron""]",France,Provence-Alpes-Cote d'Azur,Var,Rocbaron,"2 Zac de Fray Redon, 83136 Rocbaron France",43.315327,6.075969,Claimed,Certificate of Excellence 2016,#6 of 10 Restaurants in Rocbaron,#6 of 12 places to eat in Rocbaron,"Mid-range, Japanese, Sushi, Asian",€€-€€€,,"Lunch, Dinner, After-hours","Japanese, Sushi, Asian",,"Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Table Service, Serves Alcohol",N,N,N,"{""Mon"": [""11:30-14:00"", ""17:00-22:00""], ""Tue"": [""11:30-14:00"", ""17:00-22:00""], ""Wed"": [""11:30-14:00"", ""17:00-22:00""], ""Thu"": [""11:30-14:00"", ""17:00-22:00""], ""Fri"": [""11:30-14:00"", ""17:00-22:00""], ""Sat"": [""11:30-14:00"", ""17:00-22:00""], ""Sun"": [""11:30-14:00"", ""17:00-22:00""]}",7.0,52.5,14.0,4.0,117.0,English,2.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,4.0,,2015-03-11,2018-05-22
g1005762-d11620635,Meurice Christophe,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Eure"", ""Le Bec-Hellouin""]",France,Normandy,Haute-Normandie,Le Bec-Hellouin,"1 Rue Jean Jaures, 27780 Le Bec-Hellouin France",48.91113,1.43863,Unclaimed,,#5 of 6 Restaurants in Le Bec-Hellouin,#6 of 7 places to eat in Le Bec-Hellouin,,,,,,,,N,N,N,,,,,5.0,1.0,All languages,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,2012-07-22,2015-09-30
g1005762-d12801343,La Crepe Dans Le Bec,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Eure"", ""Le Bec-Hellouin""]",France,Normandy,Haute-Normandie,Le Bec-Hellouin,"Route de Rouen, 27300 Le Bec-Hellouin France",49.21153,0.74301,Unclaimed,,#6 of 6 Restaurants in Le Bec-Hellouin,#7 of 7 places to eat in Le Bec-Hellouin,French,,,,French,,,N,N,N,,,,,3.5,4.0,All languages,4.0,1.0,1.0,1.0,0.0,1.0,,,,,,,2023-12-31
g1005762-d1372957,Auberge de l'Abbaye,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Eure"", ""Le Bec-Hellouin""]",France,Normandy,Haute-Normandie,Le Bec-Hellouin,"12 Place Guillaume le Conquerant, 27800 Le Bec-Hellouin France",49.23185,0.720842,Claimed,,#3 of 6 Restaurants in Le Bec-Hellouin,#3 of 7 places to eat in Le Bec-Hellouin,"Fine Dining, French, European",€€€€,€26-€106,"Lunch, Dinner","French, European",,,N,N,N,,,,,3.5,315.0,English,16.0,6.0,4.0,3.0,2.0,1.0,4.0,4.0,3.5,3.5,,2020-12-09,2021-06-20
g1005762-d14087871,L'Antre de Cloches,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Eure"", ""Le Bec-Hellouin""]",France,Normandy,Haute-Normandie,Le Bec-Hellouin,"1 rue Lanfranc, 27800 Le Bec-Hellouin France",49.23077,0.72067,Claimed,,#1 of 1 Coffee & Tea in Le Bec-Hellouin,#4 of 7 places to eat in Le Bec-Hellouin,"Mid-range, French, Cafe",€€-€€€,,,"Cafe, French",,"Accepts Credit Cards, Seating",N,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [""08:00-12:30"", ""14:00-18:00""], ""Thu"": [""08:00-12:30"", ""14:00-18:00""], ""Fri"": [""08:00-12:30"", ""14:00-18:00""], ""Sat"": [""08:00-12:30"", ""14:00-18:00""], ""Sun"": [""08:00-12:30"", ""14:00-18:00""]}",5.0,42.5,10.0,4.0,25.0,English,1.0,0.0,1.0,0.0,0.0,0.0,5.0,4.5,5.0,,,2019-01-05,2020-11-28
g1005762-d1930504,La Crêpe dans le Bec,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Eure"", ""Le Bec-Hellouin""]",France,Normandy,Haute-Normandie,Le Bec-Hellouin,"2 Place de l Abbe Herluin, 27800 Le Bec-Hellouin France",49.230675,0.720579,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",#1 of 6 Restaurants in Le Bec-Hellouin,#1 of 7 places to eat in Le Bec-Hellouin,"Mid-range, French, European, Vegetarian Friendly",€€-€€€,€3-€17,,"French, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""12:00-14:00"", ""19:00-22:30""], ""Tue"": [""12:00-14:00"", ""19:00-22:30""], ""Wed"": [""12:00-14:00"", ""19:00-22:30""], ""Thu"": [""12:00-14:00"", ""19:00-22:30""], ""Fri"": [""12:00-14:00"", ""19:00-22:30""], ""Sat"": [""12:00-14:00"", ""19:00-22:30""], ""Sun"": [""12:00-14:00"", ""19:00-22:30""]}",7.0,38.5,14.0,4.0,240.0,English,17.0,8.0,7.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,,2015-08-20,2018-12-09
g1005762-d2199376,Restaurant de la Tour,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Eure"", ""Le Bec-Hellouin""]",France,Normandy,Haute-Normandie,Le Bec-Hellouin,"1 Place Guillaume le Conquerant, 27800 Le Bec-Hellouin France",49.23159,0.720728,Claimed,"Certificate of Excellence 2017, Certificate of Excellence 2016, Certificate of Excellence 2015",#2 of 6 Restaurants in Le Bec-Hellouin,#2 of 7 places to eat in Le Bec-Hellouin,"Mid-range, French, European",€€-€€€,,"Lunch, Dinner, Drinks","French, European",,"Reservations, Outdoor Seating, Seating, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [""12:00-14:00"", ""19:00-21:00""], ""Tue"": [""12:00-14:00"", ""19:00-21:00""], ""Wed"": [""12:00-14:00"", ""19:00-21:00""], ""Thu"": [""12:00-14:00"", ""19:00-21:00""], ""Fri"": [""12:00-14:00"", ""19:00-21:00""], ""Sat"": [""12:00-14:00"", ""19:00-21:00""], ""Sun"": [""12:00-14:00"", ""19:00-21:00""]}",7.0,28.0,14.0,4.0,167.0,English,18.0,12.0,5.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,,2021-07-07,2023-08-31
g1005762-d7786331,L'ARCHANGE,"[""Europe"", ""France"", ""Normandy"", ""Haute-Normandie"", ""Eure"", ""Le Bec-Hellouin""]",France,Normandy,Haute-Normandie,Le Bec-Hellouin,"5 Place Mathilde, 27800 Le Bec-Hellouin France",49.23119,0.72118,Claimed,,#4 of 6 Restaurants in Le Bec-Hellouin,#5 of 7 places to eat in Le Bec-Hellouin,"Mid-range, French",€€-€€€,,Lunch,French,,"Reservations, Seating, Table Service",N,N,N,,,,,3.0,82.0,English,4.0,2.0,1.0,1.0,0.0,0.0,3.5,3.5,3.5,,,2017-08-20,2020-03-15
g1005948-d10043675,Restaurant Alpazur,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Val-Cenis"", ""Lanslebourg Mont Cenis""]",France,Auvergne-Rhone-Alpes,Savoie,Lanslebourg Mont Cenis,"106 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",45.28534,6.881102,Claimed,,#24 of 26 Restaurants in Lanslebourg Mont Cenis,#25 of 28 places to eat in Lanslebourg Mont Cenis,"Mid-range, French",€€-€€€,€12-€40,"Lunch, Drinks, Dinner",French,,,N,N,N,"{""Mon"": [""11:45-22:00""], ""Tue"": [""11:45-22:00""], ""Wed"": [""11:45-22:00""], ""Thu"": [""11:45-22:00""], ""Fri"": [""11:45-22:00""], ""Sat"": [""11:45-22:00""], ""Sun"": [""11:45-22:00""]}",7.0,71.75,7.0,3.0,66.0,English,4.0,0.0,0.0,0.0,0.0,4.0,3.5,3.5,3.0,,,2016-03-16,2017-11-24
g1005948-d10145868,Gagniere David,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Val-Cenis"", ""Lanslebourg Mont Cenis""]",France,Auvergne-Rhone-Alpes,Savoie,Lanslebourg Mont Cenis,"50 rue du Mont Cenis, 73480 Lanslebourg Mont Cenis, Val-Cenis France",45.285103,6.877394,Unclaimed,,#11 of 26 Restaurants in Lanslebourg Mont Cenis,#11 of 28 places to eat in Lanslebourg Mont Cenis,"Mid-range, French",€€-€€€,,"Lunch, Dinner",French,,"Reservations, Accepts Credit Cards, Table Service, Takeout, Seating",N,N,N,,,,,4.5,41.0,English,1.0,0.0,1.0,0.0,0.0,0.0,4.5,5.0,4.5,,,2013-03-07,2013-05-23
g1005948-d11949428,Le C2,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Val-Cenis"", ""Lanslebourg Mont Cenis""]",France,Auvergne-Rhone-Alpes,Savoie,Lanslebourg Mont Cenis,"Chemin des Crueux Batiment St Charles, 73480 Lanslebourg Mont Cenis, Val-Cenis France",45.28487,6.884967,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#4 of 26 Restaurants in Lanslebourg Mont Cenis,#4 of 28 places to eat in Lanslebourg Mont Cenis,"Mid-range, French, European",€€-€€€,,"Lunch, Dinner","French, European",,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Free Wifi",N,N,N,"{""Mon"": [""08:00-00:00""], ""Tue"": [""08:00-00:00""], ""Wed"": [""08:00-00:00""], ""Thu"": [""08:00-00:00""], ""Fri"": [""08:00-00:00""], ""Sat"": [""08:00-00:00""], ""Sun"": [""08:00-00:00""]}",7.0,112.0,7.0,4.5,157.0,English,13.0,10.0,3.0,0.0,0.0,0.0,4.5,4.5,4.0,,,,2011-10-16
g1005948-d11993829,The Esconda,"[""Europe"", ""France"", ""Auvergne-Rhone-Alpes"", ""Savoie"", ""Val-Cenis"", ""Lanslebourg Mont Cenis""]",France,Auvergne-Rhone-Alpes,Savoie,Lanslebourg Mont Cenis,"Chemin des Crueux Saint Charles Hotel & Spa, 73480 Lanslebourg Mont Cenis, Val-Cenis France",45.28534,6.89052,Unclaimed,,#25 of 26 Restaurants in Lanslebourg Mont Cenis,#26 of 28 places to eat in Lanslebourg Mont Cenis,French,,,,French,,,N,N,N,,,,,5.0,3.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,2022-06-05,2023-08-12
