ra,decl,jdate,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,instance_id
51.245232,22.503214,2450748.7866,15.784,0.142,15.044,0.193,14.475,0.191,1
55.862793,22.503988,2451088.9737,14.951,0.063,14.384,0.089,13.782,0.097,2
47.26725,22.50544,2451088.8414,14.797,0.065,13.961,0.066,13.527,0.089,3
41.22229,22.506512,2450736.8334,14.917,0.07,14.288,0.102,13.833,0.123,4
44.276802,22.524235,2451087.9221,15.427,0.104,14.435,0.098,13.948,0.121,13
52.777561,22.52482,2450748.8627,15.652,0.12,14.917,0.152,14.141,0.131,14
53.704914,22.526615,2450748.9104,15.269,0.091,14.498,0.115,14.011,0.122,15
41.519333,22.527357,2450736.8431,15.406,0.103,14.555,0.126,14.042,0.142,16
57.348305,22.531916,2450749.8322,14.614,0.068,13.814,0.08,13.489,0.085,20
52.538502,22.534458,2450748.8531,15.741,0.104,14.936,0.122,14.418,0.135,23
55.638702,22.540024,2451088.9689,15.231,0.08,14.295,0.081,13.947,0.112,25
57.291164,22.542753,2450749.8322,15.024,0.096,14.187,0.116,13.646,0.101,28
54.64296,22.545248,2451088.9232,14.558,0.06,13.777,0.064,13.299,0.085,30
57.827042,22.546804,2451552.6372,13.489,0.039,12.772,0.053,12.402,0.058,31
56.800354,22.548719,2450749.8129,14.348,0.072,13.574,0.084,13.292,0.098,32
59.656273,22.549919,2450750.8365,14.61,0.077,13.799,0.076,13.326,0.093,33
53.101456,22.552469,2450748.8911,15.659,0.122,14.889,0.154,14.001,0.115,35
42.85915,22.553295,2451517.7891,15.961,0.154,15.062,0.176,14.393,0.142,36
48.115036,22.554184,2451088.8821,14.734,0.059,13.981,0.064,13.626,0.092,37
57.732986,22.55546,2450749.8467,15.017,0.089,14.19,0.108,13.932,0.123,38
42.976875,22.560137,2451517.7939,15.258,0.084,14.655,0.127,14.067,0.109,42
40.023567,22.564598,2451856.8206,15.725,0.146,14.898,0.172,14.408,0.142,44
50.402061,22.567087,2450748.7577,14.088,0.054,13.312,0.07,12.929,0.084,46
