ra,decl,jdate,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,instance_id
47.57399,22.567322,2451088.8511,15.675,0.121,15.063,0.16,14.236,0.149,47
42.3498,22.567873,2450736.8786,14.954,0.071,14.308,0.104,13.769,0.114,48
57.255493,22.568733,2450749.8274,15.693,0.173,\N,\N,14.119,0.151,50
42.456303,22.569006,2450736.8834,15.736,0.135,14.77,0.144,14.33,0.181,52
52.400013,22.572346,2450748.8483,15.202,0.081,14.397,0.096,13.754,0.093,55
57.800861,22.57596,2451552.6372,14.409,0.057,13.636,0.069,13.27,0.071,56
45.208923,22.577019,2451552.6127,14.891,0.09,13.977,0.101,13.425,0.084,58
49.707291,22.578163,2451872.7077,15.76,0.14,\N,\N,14.498,0.155,59
46.514439,22.578743,2450745.8896,15.513,0.122,15.079,0.177,14.375,0.171,60
54.103008,22.581757,2451088.9039,14.797,0.064,14.011,0.066,13.493,0.086,63
56.226028,22.588232,2451127.8529,15.867,0.199,\N,\N,14.11,0.142,66
56.558044,22.591513,2451135.8993,14.416,0.083,13.764,0.108,12.987,0.094,67
58.001049,22.593901,2450749.8941,15.11,0.096,14.168,0.109,13.977,0.127,68
55.076046,22.594007,2451088.9447,14.284,0.05,13.505,0.056,13.015,0.074,69
50.542114,22.59444,2450748.7625,14.524,0.066,13.844,0.087,13.253,0.091,70
50.755108,22.601217,2450748.7674,15.202,0.086,14.446,0.116,14.062,0.135,72
45.173119,22.601458,2451552.6127,14.967,0.066,14.235,0.088,13.792,0.079,73
41.880703,22.60734,2450736.8642,15.304,0.092,14.256,0.096,14.059,0.143,80
43.12376,22.60894,2451517.7988,15.846,0.138,14.735,0.133,14.233,0.121,83
58.915382,22.620489,2450750.8009,14.363,0.05,13.579,0.051,13.297,0.069,86
50.257038,22.625589,2450747.9085,15.632,0.118,14.731,0.13,14.474,0.161,87
50.734051,22.639278,2450748.7674,15.311,0.099,14.559,0.134,13.844,0.114,91
44.526146,22.641701,2451087.9269,15.481,0.113,14.806,0.14,13.969,0.127,94
52.217339,22.642548,2451135.8896,15.968,0.197,\N,\N,14.053,0.133,96
50.565582,22.64583,2450748.7625,15.622,0.137,14.629,0.148,13.991,0.135,100
50.983795,22.649805,2450748.777,15.083,0.09,14.485,0.139,13.696,0.111,101
45.968853,22.655729,2450745.8703,15.175,0.094,14.348,0.1,13.911,0.115,104
42.350746,22.656483,2450736.8786,15.107,0.079,14.459,0.116,13.882,0.124,106
46.103123,22.656712,2450745.8751,13.983,0.058,13.137,0.059,12.827,0.082,107
41.835114,22.660374,2450736.8593,14.348,0.054,13.598,0.069,13.308,0.096,109
59.695152,22.661568,2450750.8365,14.048,0.058,13.375,0.066,12.892,0.082,110
47.676842,22.664062,2451088.8628,14.716,0.065,14.222,0.092,13.69,0.109,111
45.421513,22.665974,2451087.9674,14.603,0.055,13.79,0.061,13.508,0.083,116
59.684319,22.67074,2450750.8365,15.25,0.101,14.648,0.129,14.201,0.151,119
49.026966,22.670914,2451856.9078,15.529,0.123,14.863,0.172,14.146,0.115,120
56.894547,22.670937,2450749.8129,15.076,0.097,14.308,0.117,13.915,0.123,121
46.675323,22.672182,2450745.8944,15.153,0.088,14.525,0.106,13.748,0.095,124
53.52438,22.684286,2450748.9055,15.819,0.146,14.871,0.158,14.288,0.152,130
49.520378,22.689184,2451872.7029,15.463,0.108,14.686,0.144,14.214,0.12,132
58.916924,22.696321,2450750.8009,15.098,0.09,14.475,0.114,14.018,0.13,135
49.977329,22.697456,2451856.9126,15.592,0.135,14.702,0.154,14.096,0.113,139
59.434544,22.701944,2450750.8202,15.358,0.115,14.638,0.13,13.899,0.116,143
49.11758,22.703712,2451856.9078,15.785,0.138,14.796,0.143,14.394,0.127,145
46.589809,22.70438,2450745.8944,14.66,0.069,13.882,0.068,13.247,0.076,146
59.078049,22.705038,2450750.8105,15.484,0.13,14.616,0.129,14.054,0.135,147
45.988716,22.707399,2450745.8703,15.306,0.115,14.366,0.11,14.188,0.162,149
53.53009,22.707899,2450748.9055,15.916,0.16,14.918,0.165,14.201,0.14,150
58.590172,22.70916,2450749.9182,15.647,0.153,\N,\N,14.147,0.145,152
46.039604,22.710175,2450745.8703,15.067,0.09,14.304,0.101,13.898,0.12,154
42.745934,22.712982,2451517.7891,15.183,0.064,14.357,0.078,14.153,0.097,155
45.901772,22.714165,2451135.8723,14.553,0.069,13.839,0.083,13.377,0.088,157
45.992928,22.714621,2450745.8703,15.342,0.109,14.57,0.122,14.166,0.145,158
57.667141,22.715624,2450749.8418,14.539,0.082,13.682,0.09,13.204,0.092,160
57.283566,22.718445,2450749.8274,15.06,0.095,14.53,0.152,14.037,0.138,163
54.4454,22.719076,2451088.9135,14.116,0.041,13.455,0.05,13.063,0.07,165
46.69249,22.723293,2450745.8944,15.769,0.172,14.738,0.143,14.038,0.137,168
50.813,22.724279,2450748.7722,15.253,0.089,14.622,0.134,14.096,0.136,170
42.341743,22.725929,2450736.8786,15.214,0.104,14.419,0.133,13.775,0.133,173
44.42168,22.727264,2451087.9269,15.706,0.13,14.848,0.138,14.098,0.134,174
44.804565,22.732422,2451087.9481,15.131,0.078,14.533,0.107,13.851,0.108,177
53.148151,22.733294,2450748.8911,15.609,0.119,14.56,0.115,13.848,0.102,178
49.573067,22.735861,2451872.7029,15.933,0.143,\N,\N,14.712,0.164,180
54.475224,22.737123,2451088.9135,15.922,0.153,\N,\N,14.255,0.152,181
55.256866,22.737183,2451088.9544,14.762,0.054,14.03,0.064,13.657,0.085,182
47.670208,22.73934,2451088.8628,15.715,0.128,14.895,0.142,14.467,0.185,183
45.553207,22.739784,2451135.8626,14.999,0.091,14.015,0.093,13.607,0.099,184
59.871265,22.740219,2450750.8461,14.74,0.083,13.921,0.081,13.464,0.096,185
49.05584,22.740648,2451856.9078,15.673,0.141,14.829,0.166,14.136,0.114,186
55.190258,22.743038,2451088.9496,15.254,0.091,14.628,0.124,14.052,0.137,187
49.102222,22.748156,2451856.9078,15.7,0.144,\N,\N,14.59,0.172,189
51.600018,22.752453,2450748.8115,15.583,0.115,14.901,0.16,14.114,0.133,191
45.048878,22.753517,2451856.8932,15.513,0.125,\N,\N,14.244,0.128,192
55.211342,22.753868,2451088.9496,14.607,0.046,13.855,0.051,13.32,0.063,194
40.181686,22.757906,2451834.8635,15.305,0.12,14.586,0.161,14.185,0.158,196
49.442909,22.759466,2450747.8728,15.321,0.091,14.671,0.128,13.987,0.107,197
55.101364,22.760672,2451088.9447,14.587,0.056,13.84,0.063,13.399,0.083,200
49.741306,22.762884,2451872.7077,15.97,0.158,14.859,0.155,14.431,0.135,202
45.557415,22.764788,2451135.8626,15.434,0.12,14.634,0.145,14.17,0.147,204
47.335045,22.765421,2451088.8414,14.76,0.06,14.1,0.071,13.67,0.095,205
41.801994,22.767597,2450736.8593,13.83,0.047,13.077,0.062,12.71,0.086,206
42.137848,22.768232,2450736.8738,14.266,0.053,13.206,0.057,12.868,0.079,207
42.710567,22.77203,2450736.8931,11.48,0.014,10.725,0.02,10.444,0.031,208
47.756363,22.77453,2451088.8676,14.906,0.059,14.151,0.066,13.65,0.083,210
43.36528,22.774878,2451517.8084,15.395,0.095,14.618,0.118,14.083,0.108,211
57.310421,22.775255,2450749.8322,13.889,0.074,13.036,0.09,12.588,0.094,212
58.475559,22.777493,2450749.9134,15.18,0.107,14.536,0.153,13.904,0.126,214
46.195637,22.778614,2450745.8751,15.667,0.14,15.087,0.181,14.48,0.183,216
57.767307,22.783237,2450749.8467,15.363,0.121,14.701,0.172,13.939,0.124,217
58.440308,22.791105,2450749.9134,14.735,0.093,14.026,0.119,13.615,0.119,221
42.186657,22.792677,2450736.8738,15.278,0.09,14.451,0.113,14.002,0.135,223
57.117519,22.795626,2450749.8226,14.511,0.079,13.851,0.099,13.37,0.101,225
47.143654,22.799889,2451088.8366,15.665,0.125,14.744,0.126,14.217,0.15,228
43.669361,22.802128,2451517.8229,15.909,0.151,14.657,0.126,14.411,0.146,229
46.094711,22.802824,2450745.8751,14.569,0.067,13.992,0.079,13.427,0.087,231
42.097965,22.803093,2450736.869,14.31,0.053,13.663,0.073,13.105,0.087,232
46.065784,22.805601,2450745.8751,15.109,0.089,14.595,0.121,14.178,0.146,233
53.26704,22.81262,2451135.8944,14.629,0.091,13.789,0.102,13.316,0.107,237
58.002579,22.815289,2450749.8941,15.383,0.138,14.424,0.157,13.934,0.139,239
42.496689,22.820095,2450736.8883,15.58,0.122,14.744,0.146,14.085,0.147,242
54.780701,22.822651,2451088.928,15.53,0.105,14.67,0.114,13.944,0.111,244
40.507397,22.823811,2451877.8655,15.343,0.119,\N,\N,14.22,0.159,245
46.140224,22.826145,2450745.8751,15.433,0.099,14.649,0.106,14.079,0.111,248
42.177921,22.82629,2450736.8738,15.243,0.087,14.41,0.109,14.106,0.149,249
46.10165,22.832544,2450745.8751,15.437,0.105,14.555,0.103,14.043,0.114,250
42.096176,22.835871,2450736.869,14.44,0.053,13.428,0.057,13.194,0.083,251
47.484886,22.836496,2451088.8511,15.093,0.067,14.523,0.091,14.155,0.129,253
44.386044,22.838139,2451087.9221,15.552,0.112,14.803,0.133,14.115,0.135,255
49.593861,22.842249,2451872.7029,15.347,0.097,14.67,0.142,14.296,0.13,258
44.527355,22.843134,2451087.9317,15.476,0.103,14.58,0.103,14.149,0.138,261
42.091358,22.844761,2450736.869,15.065,0.075,14.299,0.099,14.075,0.145,262
46.034515,22.844896,2450745.8703,15.718,0.147,\N,\N,14.432,0.177,263
56.20615,22.84601,2451127.8529,15.624,0.138,\N,\N,14.735,0.218,265
59.500603,22.84601,2450750.825,14.729,0.08,13.982,0.085,13.691,0.113,266
41.914612,22.846523,2450736.8642,15.979,0.171,\N,\N,14.085,0.148,267
57.628334,22.847305,2450749.8418,15.193,0.116,14.17,0.115,13.648,0.105,270
42.952564,22.84931,2451517.7939,15.394,0.107,14.356,0.11,13.759,0.092,272
44.735344,22.849747,2451087.9433,15.536,0.108,14.992,0.15,14.302,0.158,273
49.317814,22.852018,2450747.868,15.702,0.13,\N,\N,14.324,0.147,275
45.034622,22.852118,2451856.8932,15.533,0.138,14.385,0.122,13.758,0.089,276
50.724148,22.855392,2450748.7674,14.805,0.063,13.943,0.074,13.434,0.078,278
55.630657,22.856688,2451088.9689,15.46,0.101,14.479,0.097,13.913,0.111,279
42.994167,22.864853,2451517.7939,15.883,0.144,14.772,0.138,14.315,0.132,288
45.632126,22.86619,2451135.8626,14.677,0.082,13.873,0.093,13.707,0.124,292
54.604256,22.866497,2451088.9184,13.432,0.043,12.617,0.05,12.261,0.075,293
49.578487,22.866695,2451872.7029,\N,\N,15.004,0.193,14.296,0.13,294
49.60743,22.86697,2451872.7029,\N,\N,14.429,0.114,13.936,0.093,295
58.657467,22.869955,2450749.9182,13.729,0.044,13.081,0.062,12.713,0.068,296
54.576523,22.872335,2451088.9184,15.164,0.077,14.355,0.088,14.084,0.128,299
40.363892,22.875225,2451856.8835,14.476,0.049,13.798,0.061,13.449,0.058,300
49.111862,22.880379,2451856.9078,15.431,0.113,14.727,0.152,14.176,0.118,304
41.158276,22.884771,2450736.8286,14.377,0.059,13.706,0.078,13.31,0.103,308
53.062645,22.886875,2450748.8724,15.209,0.078,14.618,0.113,14.151,0.129,309
43.386265,22.88772,2451517.8133,15.632,0.117,14.937,0.169,14.395,0.146,310
50.639759,22.892479,2450748.7625,14.681,0.073,13.977,0.096,13.521,0.104,312
46.366203,22.893522,2450745.8847,15.493,0.117,14.628,0.111,14.197,0.139,313
43.421539,22.895514,2451517.8133,15.391,0.097,14.704,0.141,13.837,0.09,314
46.66959,22.898571,2450745.8944,15.479,0.115,14.497,0.1,14.152,0.133,316
47.622246,22.89905,2451088.8628,13.245,0.034,12.44,0.04,12.093,0.062,317
48.987766,22.900055,2451856.9029,15.258,0.109,14.603,0.154,13.874,0.101,319
58.739601,22.907753,2450750.7961,14.908,0.081,14.235,0.094,14.164,0.155,323
55.458702,22.910151,2451088.9592,14.663,0.054,13.938,0.062,13.41,0.076,324
46.130314,22.918371,2450745.8751,15.055,0.08,14.345,0.092,14.074,0.127,327
49.344662,22.922012,2450747.868,14.364,0.057,13.585,0.068,13.13,0.074,331
42.587132,22.922874,2450736.8883,15.807,0.166,14.456,0.123,13.988,0.149,333
46.587551,22.928823,2450745.8944,15.397,0.107,14.677,0.118,14.282,0.15,338
48.068165,22.93181,2451088.8773,15.042,0.081,14.189,0.085,13.839,0.124,339
50.910999,22.933149,2450748.7722,15.556,0.117,\N,\N,14.295,0.163,341
42.368324,22.934835,2450736.8834,12.797,0.03,12.094,0.043,11.721,0.064,343
53.173882,22.939392,2450748.8911,15.609,0.129,14.942,0.178,14.385,0.18,345
46.067585,22.940601,2450745.8751,15.051,0.091,14.398,0.11,13.799,0.112,346
46.518265,22.940966,2450745.8896,14.679,0.063,13.934,0.063,13.606,0.087,347
50.591526,22.942493,2450748.7625,14.944,0.079,14.297,0.115,13.812,0.122,348
43.506836,22.944302,2451517.8181,15.733,0.127,\N,\N,14.452,0.151,352
52.754807,22.94455,2450748.8627,15.698,0.123,14.79,0.134,14.173,0.134,353
55.978424,22.94663,2451127.8433,14.543,0.058,13.683,0.061,13.31,0.066,354
44.565903,22.94676,2451087.9317,13.897,0.041,13.12,0.045,12.818,0.072,355
53.017727,22.952721,2450748.8724,15.761,0.101,15.091,0.136,14.352,0.12,358
58.204056,22.952944,2450749.9038,14.803,0.094,13.782,0.105,13.241,0.091,359
50.953964,22.955637,2450748.777,14.064,0.046,13.401,0.063,12.939,0.074,360
55.484959,22.955698,2451088.9592,15.351,0.087,14.711,0.116,14.166,0.134,361
52.973984,22.961054,2450748.8724,15.283,0.118,14.752,0.181,13.503,0.1,366
52.691372,22.967579,2450748.8579,16.003,0.165,14.827,0.142,14.466,0.177,369
41.092575,22.968159,2450736.8238,14.7,0.082,14.227,0.134,13.646,0.141,371
44.522381,22.969202,2451087.9269,15.488,0.134,14.653,0.144,14.004,0.155,373
53.731823,22.970015,2450748.9152,15.829,0.16,\N,\N,14.132,0.142,376
46.02911,22.972118,2450745.8703,14.624,0.069,13.933,0.078,13.437,0.088,377
45.318447,22.972363,2451087.9674,15.84,0.15,14.659,0.128,14.198,0.148,378
45.435577,22.974655,2451872.6932,14.912,0.081,14.164,0.112,13.59,0.083,379
42.25042,22.975658,2450736.8786,15.398,0.108,14.621,0.142,13.879,0.129,380
45.430443,22.984097,2451872.6932,15.115,0.08,14.539,0.131,14.226,0.122,383
52.051258,22.987255,2450748.8272,15.002,0.071,14.305,0.095,13.811,0.105,384
54.471405,22.990734,2451088.9135,14.589,0.055,13.699,0.055,13.199,0.073,386
47.225937,22.99238,2451088.8414,15.464,0.102,14.834,0.132,13.925,0.113,388
54.813602,22.993481,2451088.928,15.273,0.082,14.346,0.084,14.114,0.129,389
48.050388,22.997648,2451088.8773,15.64,0.114,14.985,0.144,14.329,0.159,395
55.49614,22.998472,2451088.9592,15.588,0.109,14.669,0.111,14.022,0.118,396
49.645679,22.999809,2451872.7077,15.267,0.089,\N,\N,14.22,0.119,399
40.023485,22.564608,2451856.8221,16.373,0.147,15.126,\N,15.304,0.153,400
41.222397,22.506559,2450736.8326,15.641,0.078,14.757,0.068,14.341,0.088,403
41.519347,22.527369,2450736.8422,16.02,0.087,15.054,0.099,14.522,0.103,405
42.349798,22.567825,2450736.8777,15.559,0.068,14.956,0.094,14.388,0.091,406
42.456234,22.568895,2450736.8849,16.121,0.084,15.158,0.087,14.727,0.113,407
42.859053,22.553228,2451517.7882,16.247,0.095,15.557,0.132,14.835,0.099,408
42.976901,22.560247,2451517.7954,15.437,0.056,14.717,0.074,14.381,0.075,409
44.276889,22.524298,2451087.9235,15.837,0.081,14.842,0.072,14.574,0.092,414
45.208883,22.577045,2451552.6117,15.565,0.077,14.829,0.107,14.219,0.078,417
46.514561,22.578547,2450745.8886,16.576,0.149,15.925,0.156,15.586,0.194,422
47.267321,22.505529,2451088.8406,15.487,0.071,14.66,0.078,14.187,0.083,424
47.574028,22.567369,2451088.8502,16.146,0.092,15.611,0.111,14.729,0.099,425
48.115026,22.554274,2451088.8836,15.135,0.046,14.37,0.054,14.096,0.063,428
49.707196,22.578176,2451872.7092,15.973,0.077,15.203,0.099,14.936,0.102,432
50.402179,22.567028,2450748.7568,15.026,0.06,14.288,0.064,14.034,0.078,433
50.542264,22.594496,2450748.7641,15.209,0.06,14.575,0.071,13.975,0.073,434
51.245256,22.503086,2450748.7858,15.795,0.071,15.29,0.104,14.802,0.108,436
52.399921,22.572338,2450748.8498,15.638,0.069,14.823,0.07,14.217,0.074,438
52.538447,22.534262,2450748.8522,16.253,0.105,15.236,0.091,14.718,0.105,440
52.777671,22.524893,2450748.8619,16.175,0.097,15.496,0.116,14.524,0.083,441
53.101436,22.552404,2450748.8902,15.902,0.073,15.183,0.081,14.433,0.076,442
53.704966,22.526766,2450748.9095,15.717,0.069,14.863,0.076,14.501,0.09,443
54.102967,22.581795,2451088.9029,15.582,0.073,14.861,0.099,14.335,0.083,445
54.643044,22.545275,2451088.9223,15.378,0.069,14.623,0.083,14.209,0.083,446
55.076033,22.594078,2451088.9462,14.928,0.049,14.128,0.064,13.728,0.068,451
55.638806,22.54003,2451088.968,15.923,0.081,15.066,0.098,14.865,0.115,453
55.862929,22.503887,2451088.9752,15.375,0.056,14.659,0.057,14.182,0.071,454
56.22594,22.58824,2451127.852,16.595,0.152,15.917,0.165,15.253,0.148,455
56.558007,22.591597,2451135.8984,15.339,0.07,14.655,0.091,14.131,0.092,456
56.800393,22.548704,2450749.812,15.048,0.064,14.271,0.071,13.919,0.06,457
57.255548,22.568903,2450749.8289,16.032,0.103,15.291,0.128,14.608,0.092,458
57.291328,22.542755,2450749.8313,15.743,0.091,14.828,0.093,14.108,0.072,459
57.348327,22.532032,2450749.8313,15.085,0.059,14.243,0.07,13.885,0.062,460
57.733069,22.555519,2450749.8481,15.701,0.09,14.747,0.094,14.437,0.079,462
57.80081,22.576036,2451552.6387,15.413,0.1,14.69,0.109,14.107,0.078,463
57.827037,22.546719,2451552.6386,14.415,0.071,13.735,0.073,13.285,0.061,464
58.001131,22.593891,2450749.8956,15.827,0.082,14.914,0.098,14.491,0.082,465
59.65624,22.550043,2450750.8356,15.564,0.086,14.628,0.084,14.262,0.103,470
41.835096,22.660418,2450736.8584,15.506,0.086,14.73,0.1,14.514,0.114,473
41.880788,22.607433,2450736.8657,15.681,0.07,14.779,0.082,14.294,0.082,474
42.350609,22.65645,2450736.8776,16.147,0.115,15.443,0.135,14.527,0.107,477
43.123646,22.608809,2451517.7978,16.37,0.107,15.492,0.121,14.795,0.099,480
44.526259,22.641701,2451087.926,16.026,0.082,15.412,0.119,14.641,0.119,484
45.17311,22.6014,2451552.6117,15.378,0.066,14.712,0.077,14.204,0.064,486
45.42165,22.666019,2451087.969,15.229,0.062,14.42,0.072,14.148,0.078,488
45.968991,22.655617,2450745.8693,15.826,0.083,15.045,0.089,14.602,0.097,492
46.103192,22.656862,2450745.8767,14.839,0.058,14.141,0.073,13.75,0.066,495
46.675345,22.67219,2450745.8959,15.712,0.074,14.99,0.074,14.477,0.09,497
47.677177,22.664087,2451088.8644,15.896,0.108,15.549,0.167,15.141,0.181,507
49.026968,22.671034,2451856.9068,16.035,0.109,15.51,0.145,14.905,0.114,510
49.520357,22.68919,2451872.7019,15.665,0.069,14.82,0.066,14.643,0.081,511
49.977693,22.697615,2451856.9142,16.305,0.136,15.47,0.162,14.969,0.13,515
50.257181,22.625652,2450747.9075,16.075,0.094,15.243,0.102,14.875,0.117,516
50.565614,22.646002,2450748.7641,16.157,0.102,15.293,0.116,14.835,0.127,517
50.734136,22.639177,2450748.7664,16.032,0.094,15.076,0.094,14.693,0.115,519
50.754995,22.601259,2450748.7664,15.61,0.067,14.844,0.08,14.327,0.074,521
50.983879,22.649778,2450748.776,15.775,0.079,15.041,0.093,14.42,0.093,522
52.217518,22.642736,2451135.8886,16.251,0.119,15.333,0.107,14.502,0.097,523
53.524303,22.684401,2450748.9071,16.207,0.092,15.604,0.135,14.809,0.113,526
56.894471,22.670858,2450749.8119,15.464,0.064,14.844,0.091,14.439,0.085,536
58.915281,22.620836,2450750.7999,14.381,\N,14.234,0.072,14.049,0.076,537
58.916772,22.696285,2450750.7999,15.799,0.096,14.878,0.081,14.486,0.088,538
59.684363,22.670761,2450750.8355,15.935,0.087,15.098,0.089,14.509,0.078,539
59.695022,22.661612,2450750.8355,15.142,0.077,13.722,\N,13.855,0.078,540
40.18174,22.757954,2451834.8651,16.0,0.106,15.361,0.15,15.008,0.139,542
41.801978,22.767645,2450736.8583,14.698,0.049,13.844,0.052,13.638,0.063,545
42.137899,22.768288,2450736.8754,15.339,0.072,14.339,0.077,13.401,\N,546
42.186611,22.792845,2450736.8755,15.598,0.066,14.761,0.072,14.543,0.104,547
42.34166,22.725954,2450736.8776,15.935,0.086,15.124,0.104,14.643,0.122,548
42.710551,22.772066,2450736.8947,12.561,\N,11.989,0.049,11.418,\N,550
42.745998,22.712978,2451517.7881,15.304,0.058,14.581,0.077,14.523,0.086,551
43.365256,22.774788,2451517.8074,15.642,0.073,14.979,0.083,14.384,0.073,552
44.421739,22.727318,2451087.9259,15.917,0.076,15.045,0.082,14.581,0.09,555
44.80438,22.732321,2451087.9497,15.396,0.057,14.786,0.068,14.313,0.079,556
45.048782,22.75341,2451856.8948,16.069,0.099,15.239,0.103,14.754,0.091,561
45.553274,22.739801,2451135.8616,15.903,0.101,15.085,0.129,14.768,0.132,564
45.557593,22.764578,2451135.8616,16.181,0.116,15.382,0.124,14.829,0.108,565
45.901648,22.71409,2451135.8713,15.248,0.066,14.564,0.086,14.212,0.086,566
45.988549,22.707447,2450745.8693,16.102,0.101,15.631,0.151,15.312,0.181,568
45.993108,22.714785,2450745.8693,16.061,0.101,15.475,0.125,15.047,0.133,569
46.03942,22.710356,2450745.8693,15.982,0.101,15.332,0.123,14.843,0.123,570
46.195688,22.778696,2450745.8767,16.676,0.164,15.853,0.161,15.296,0.162,571
46.58983,22.704304,2450745.896,15.207,0.058,14.274,0.047,13.771,0.053,572
46.692525,22.723183,2450745.896,16.59,0.15,15.599,0.126,15.068,0.133,574
47.143699,22.799976,2451088.8383,16.01,0.081,15.265,0.1,14.672,0.097,576
47.334917,22.76535,2451088.8404,14.909,0.035,14.171,0.038,13.959,0.062,578
47.670121,22.739294,2451088.8644,15.599,0.051,15.028,0.075,14.714,0.086,581
47.756475,22.774746,2451088.8665,15.44,0.061,14.632,0.07,14.269,0.074,582
49.055832,22.740591,2451856.9067,16.048,0.107,15.559,0.172,14.845,0.109,583
49.102294,22.748236,2451856.9067,15.925,0.096,15.203,0.103,14.932,0.107,584
49.117638,22.703583,2451856.9067,16.512,0.159,15.485,0.142,15.037,0.118,585
49.442838,22.759533,2450747.8717,15.767,0.078,15.063,0.087,14.387,0.072,586
49.573103,22.735733,2451872.7019,16.797,0.172,15.676,\N,14.97,\N,587
49.741439,22.762985,2451872.7094,16.676,0.142,15.522,0.135,15.366,0.134,588
50.813162,22.724274,2450748.7738,15.928,0.09,15.241,0.112,14.811,0.115,592
51.600058,22.752518,2450748.8131,16.132,0.087,15.466,0.124,14.805,0.11,594
53.148226,22.733208,2450748.8901,16.125,0.088,15.286,0.103,14.569,0.093,599
53.529977,22.707903,2450748.9071,16.429,0.108,15.43,0.111,14.737,0.102,601
54.445551,22.719189,2451088.9125,15.272,0.092,14.473,0.096,14.16,0.106,603
54.475288,22.736996,2451088.9125,16.571,0.125,15.458,0.091,14.898,0.114,604
55.101433,22.760611,2451088.9464,15.071,0.05,14.383,0.062,14.013,0.065,609
55.190308,22.743166,2451088.9485,16.159,0.102,15.506,0.126,15.14,0.159,610
55.211345,22.753784,2451088.9485,14.932,0.047,14.159,0.054,13.791,0.055,611
55.256863,22.737261,2451088.956,15.072,0.047,14.304,0.052,13.963,0.056,612
57.117449,22.795605,2450749.8215,15.673,0.092,14.887,0.117,14.315,0.091,617
57.283605,22.71842,2450749.829,15.746,0.086,14.962,0.104,14.373,0.079,618
57.310307,22.775143,2450749.8311,14.965,0.077,14.201,0.095,13.696,0.064,619
57.667203,22.715584,2450749.8408,15.093,0.056,14.273,0.071,13.785,0.062,620
57.767302,22.783073,2450749.8483,15.746,0.085,14.901,0.084,14.538,0.095,621
58.440409,22.791199,2450749.9151,16.017,0.123,15.374,0.162,15.015,0.162,622
58.475435,22.777416,2450749.915,16.06,0.114,15.619,0.162,14.69,0.112,623
58.590126,22.709068,2450749.9172,16.27,0.119,15.455,0.131,14.908,0.128,624
59.078146,22.705036,2450750.8095,16.128,0.104,15.346,0.125,14.907,0.128,626
59.434706,22.701914,2450750.8192,15.822,0.078,15.07,0.091,14.489,0.083,627
59.871271,22.740101,2450750.8451,15.947,0.116,15.114,0.105,14.605,0.116,628
40.363816,22.875217,2451856.8852,14.645,0.046,13.973,0.053,13.59,0.046,630
40.507564,22.823862,2451877.8672,15.565,0.072,14.907,0.072,14.652,0.092,631
41.158185,22.884686,2450736.8303,15.426,0.082,14.664,0.09,14.165,0.091,632
41.914546,22.846653,2450736.8659,16.396,0.101,15.702,0.159,14.655,0.108,633
42.09116,22.844713,2450736.8679,15.574,0.067,14.882,0.086,14.466,0.089,635
42.096238,22.835924,2450736.8679,15.126,0.056,14.268,0.072,13.888,0.071,637
42.097924,22.803101,2450736.8679,15.058,0.056,14.402,0.066,13.792,0.069,638
42.178059,22.826389,2450736.8755,15.645,0.067,14.884,0.078,14.42,0.089,639
42.496544,22.820013,2450736.8872,16.034,0.087,15.276,0.101,14.499,0.098,640
