id,mes_time,dq_dimension,dq_metric,dq_granularity,dq_value,dq_explanation,runtime,table_name,column_names,row_index,experiment_tag,dataset,config_json
1,2026-02-16 21:22:46.469203,Readability,readability_wordnet_content,table,0.28651037966690407,"{'content_readability_wordnet_only': 0.28651037966690407, 'use_llm_fallback': False, 'sample_size': None, 'random_seed': 13, 'min_token_length': 2}",,Countries Capitals,,,,data/countries-capitals.json,
2,2026-02-16 21:22:46.469203,Readability,readability_wordnet_schema,table,0.5714285714285714,"{'schema_readability_wordnet_only': 0.5714285714285714, 'use_llm_fallback': False}",,Countries Capitals,,,,data/countries-capitals.json,
3,2026-02-16 21:22:46.469203,Readability,readability_wordnet_content_column,column,0.30852211434735777,"{'content_readability_wordnet_only': 0.30852211434735777, 'use_llm_fallback': False, 'llm_mode': 'none', 'llm_tokens_count': 0, 'unique_tokens_count': 0, 'llm_tokens_share': 0.0, 'schema_readability_column_name_wordnet_only': 0.5714285714285714}",,Countries Capitals,['country'],,,data/countries-capitals.json,
4,2026-02-16 21:22:46.469203,Readability,readability_wordnet_content_column,column,0.26449864498645037,"{'content_readability_wordnet_only': 0.26449864498645037, 'use_llm_fallback': False, 'llm_mode': 'none', 'llm_tokens_count': 0, 'unique_tokens_count': 0, 'llm_tokens_share': 0.0, 'schema_readability_column_name_wordnet_only': 0.5714285714285714}",,Countries Capitals,['capital'],,,data/countries-capitals.json,
5,2026-02-17 10:51:08.776053,Readability,readability_llm_content_wordnetFirst_fallback,table,0.3614271055331913,"{'content_readability': 0.3614271055331913, 'content_readability_wordnet_only': 0.28651037966690407, 'llm_uplift_content': 0.07491672586628723, 'llm_mode': 'fallback', 'llm_tokens_count_total': 70, 'unique_tokens_count_total': 456, 'llm_tokens_share_total': 0.15350877192982457, 'sample_size': None, 'random_seed': 13, 'min_token_length': 2, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'auto', 'hf_dtype': 'auto', 'column_level_llm_score_enabled': False, 'column_level_llm_sample_values': 100, 'column_level_llm_gamma': 0.5}",,Countries Capitals,,,,data/countries-capitals.json,
6,2026-02-17 10:51:08.776053,Readability,readability_llm_schema_wordnetFirst_fallback,table,0.5714285714285714,"{'schema_readability': 0.5714285714285714, 'schema_readability_wordnet_only': 0.5714285714285714, 'llm_uplift_schema': 0.0, 'llm_mode': 'fallback', 'use_llm_fallback': True}",,Countries Capitals,,,,data/countries-capitals.json,
7,2026-02-17 10:51:08.776053,Readability,readability_llm_content_column,column,0.34822006472491923,"{'content_readability_wordnet_only': 0.30852211434735777, 'content_readability_bottom_up': 0.34822006472491923, 'content_readability_top_down': None, 'content_readability_combined': 0.34822006472491923, 'top_unknown_words': [], 'top_difficult_words': ['republic', 'south', 'guinea', 'kingdom', 'saint', 'africa', 'united', 'bolivia', 'congo', 'states'], 'llm_tokens_count': 20, 'unique_tokens_count': 228, 'llm_mode': 'fallback', 'llm_tokens_share': 0.08771929824561403, 'schema_readability_column_name_wordnet_only': 0.5714285714285714, 'schema_readability_column_name_hybrid': 0.5714285714285714, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'auto', 'hf_dtype': 'auto', 'column_level_llm_score_enabled': False, 'column_level_llm_gamma': 0.5}",,Countries Capitals,['country'],,,data/countries-capitals.json,
8,2026-02-17 10:51:08.776053,Readability,readability_llm_content_column,column,0.37463414634146336,"{'content_readability_wordnet_only': 0.26449864498645037, 'content_readability_bottom_up': 0.37463414634146336, 'content_readability_top_down': None, 'content_readability_combined': 0.37463414634146336, 'top_unknown_words': [], 'top_difficult_words': ['city', 'port', 'la', 'jerusalem', 'amsterdam', 'tarawa', 'kabul', 'tirana', 'algiers', 'andorra'], 'llm_tokens_count': 50, 'unique_tokens_count': 228, 'llm_mode': 'fallback', 'llm_tokens_share': 0.21929824561403508, 'schema_readability_column_name_wordnet_only': 0.5714285714285714, 'schema_readability_column_name_hybrid': 0.5714285714285714, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'auto', 'hf_dtype': 'auto', 'column_level_llm_score_enabled': False, 'column_level_llm_gamma': 0.5}",,Countries Capitals,['capital'],,,data/countries-capitals.json,
9,2026-02-17 11:25:19.354555,Readability,readability_wordnet_content,table,0.28651037966690407,"{'content_readability_wordnet_only': 0.28651037966690407, 'use_llm_fallback': False, 'sample_size': None, 'random_seed': 13, 'min_token_length': 2}",,Countries Capitals,,,,data/countries-capitals.json,
10,2026-02-17 11:25:19.354555,Readability,readability_wordnet_schema,table,0.5714285714285714,"{'schema_readability_wordnet_only': 0.5714285714285714, 'use_llm_fallback': False}",,Countries Capitals,,,,data/countries-capitals.json,
