mesTime,DQdimension,DQmetric,DQgranularity,DQvalue,DQexplanation,tableName,columnNames,dataset,explain,column,metric_family
2026-02-25 14:39:30.086854,Readability,wordnet,table,0.777812174209877,"{'content_readability_wordnet_only': 0.777812174209877, 'use_llm_fallback': False}",Countries Capitals,,data\countries-capitals.json,"{'content_readability_wordnet_only': 0.777812174209877, 'use_llm_fallback': False}",,wordnet
2026-02-25 14:39:30.086854,Readability,wordnet,schema,0.5,"{'schema_readability_wordnet_only': 0.5, 'use_llm_fallback': False}",Countries Capitals,,data\countries-capitals.json,"{'schema_readability_wordnet_only': 0.5, 'use_llm_fallback': False}",,wordnet
2026-02-25 14:39:30.086854,Readability,wordnet,column,0.8155294974712446,"{'content_readability_wordnet_only': 0.8155294974712446, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",Countries Capitals,['country'],data\countries-capitals.json,"{'content_readability_wordnet_only': 0.8155294974712446, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",country,wordnet
2026-02-25 14:39:30.086854,Readability,wordnet,column,0.7400948509485095,"{'content_readability_wordnet_only': 0.7400948509485095, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",Countries Capitals,['capital'],data\countries-capitals.json,"{'content_readability_wordnet_only': 0.7400948509485095, 'use_llm_fallback': False, 'schema_readability_column_name_wordnet_only': 0.5}",capital,wordnet
2026-02-25 14:48:41.182083,Readability,llm,table,0.8527289000761649,"{'content_readability': 0.8527289000761649, 'content_readability_wordnet_only': 0.777812174209877, 'llm_uplift_content': 0.07491672586628784, 'llm_mode': 'fallback', 'llm_tokens_count_total': 70, 'unique_tokens_count_total': 456, 'llm_tokens_share_total': 0.15350877192982457, 'sample_size': 2000, 'random_seed': 13, 'min_token_length': 2, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",Countries Capitals,,data\countries-capitals.json,"{'content_readability': 0.8527289000761649, 'content_readability_wordnet_only': 0.777812174209877, 'llm_uplift_content': 0.07491672586628784, 'llm_mode': 'fallback', 'llm_tokens_count_total': 70, 'unique_tokens_count_total': 456, 'llm_tokens_share_total': 0.15350877192982457, 'sample_size': 2000, 'random_seed': 13, 'min_token_length': 2, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",,llm
2026-02-25 14:48:41.182083,Readability,llm,schema,0.5,"{'schema_readability': 0.5, 'schema_readability_wordnet_only': 0.5, 'llm_uplift_schema': 0.0, 'llm_mode': 'fallback', 'use_llm_fallback': True}",Countries Capitals,,data\countries-capitals.json,"{'schema_readability': 0.5, 'schema_readability_wordnet_only': 0.5, 'llm_uplift_schema': 0.0, 'llm_mode': 'fallback', 'use_llm_fallback': True}",,llm
2026-02-25 14:48:41.182083,Readability,llm,column,0.8552274478488069,"{'content_readability_wordnet_only': 0.8155294974712446, 'content_readability_bottom_up': 0.8552274478488069, 'content_readability_combined': 0.8552274478488069, 'top_unknown_words': [], 'top_difficult_words': [], 'llm_tokens_count': 20, 'unique_tokens_count': 228, 'llm_mode': 'fallback', 'llm_tokens_share': 0.08771929824561403, 'schema_readability_column_name_wordnet_only': 0.5, 'schema_readability_column_name_hybrid': 0.5, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",Countries Capitals,['country'],data\countries-capitals.json,"{'content_readability_wordnet_only': 0.8155294974712446, 'content_readability_bottom_up': 0.8552274478488069, 'content_readability_combined': 0.8552274478488069, 'top_unknown_words': [], 'top_difficult_words': [], 'llm_tokens_count': 20, 'unique_tokens_count': 228, 'llm_mode': 'fallback', 'llm_tokens_share': 0.08771929824561403, 'schema_readability_column_name_wordnet_only': 0.5, 'schema_readability_column_name_hybrid': 0.5, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",country,llm
2026-02-25 14:48:41.182083,Readability,llm,column,0.8502303523035228,"{'content_readability_wordnet_only': 0.7400948509485095, 'content_readability_bottom_up': 0.8502303523035228, 'content_readability_combined': 0.8502303523035228, 'top_unknown_words': [], 'top_difficult_words': [], 'llm_tokens_count': 50, 'unique_tokens_count': 228, 'llm_mode': 'fallback', 'llm_tokens_share': 0.21929824561403508, 'schema_readability_column_name_wordnet_only': 0.5, 'schema_readability_column_name_hybrid': 0.5, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",Countries Capitals,['capital'],data\countries-capitals.json,"{'content_readability_wordnet_only': 0.7400948509485095, 'content_readability_bottom_up': 0.8502303523035228, 'content_readability_combined': 0.8502303523035228, 'top_unknown_words': [], 'top_difficult_words': [], 'llm_tokens_count': 50, 'unique_tokens_count': 228, 'llm_mode': 'fallback', 'llm_tokens_share': 0.21929824561403508, 'schema_readability_column_name_wordnet_only': 0.5, 'schema_readability_column_name_hybrid': 0.5, 'use_llm_fallback': True, 'hf_model_id': 'Qwen/Qwen2.5-3B-Instruct', 'hf_device': 'cpu', 'hf_dtype': 'auto'}",capital,llm
